GSS_CODE,NAME,COUNT,DENSITY,New_Code,Rent_2020
E09000021,Kingston upon Thames,221,5.931106104873545e-06,E09000021,127.0
E09000008,Croydon,468,5.410752646822504e-06,E09000008,120.9
E09000006,Bromley,249,1.6585089143553778e-06,E09000006,113.49
E09000018,Hounslow,445,7.956909984249016e-06,E09000018,122.25
E09000009,Ealing,681,1.2260473008763188e-05,E09000009,125.74
E09000016,Havering,123,1.0947962837451635e-06,E09000016,119.07
E09000017,Hillingdon,326,2.817618565036325e-06,E09000017,121.89
E09000015,Harrow,211,4.181256419917818e-06,E09000015,130.36
E09000005,Brent,870,2.012368439300533e-05,E09000005,130.62
E09000003,Barnet,649,7.481413443483856e-06,E09000003,125.98
E09000022,Lambeth,1460,5.445720755835968e-05,E09000022,116.47
E09000028,Southwark,1424,4.933816956008359e-05,E09000028,120.51
E09000023,Lewisham,758,2.1565284048571988e-05,E09000023,107.96
E09000011,Greenwich,659,1.392231779714037e-05,E09000011,117.39
E09000004,Bexley,125,2.063379305505942e-06,E09000004,108.73
E09000010,Enfield,321,3.9051004013475615e-06,E09000010,120.55
E09000031,Waltham Forest,505,1.3012792504682084e-05,E09000031,117.35
E09000026,Redbridge,294,5.210989766995551e-06,E09000026,122.43
E09000029,Sutton,122,2.7824040459716387e-06,E09000029,115.73
E09000027,Richmond upon Thames,491,8.56097463395065e-06,E09000027,120.06
E09000024,Merton,412,1.0950240499674976e-05,E09000024,114.3
E09000032,Wandsworth,1256,3.665637459092276e-05,E09000032,127.91
E09000013,Hammersmith and Fulham,1296,7.903587198667893e-05,E09000013,128.31
E09000020,Kensington and Chelsea,2243,0.000185007268583,E09000020,125.09
E09000033,Westminster,3631,0.0001689860812063,E09000033,129.08
E09000007,Camden,2216,0.0001017013129986,E09000007,129.71
E09000030,Tower Hamlets,2091,0.0001057238684824,E09000030,123.84
E09000019,Islington,1365,9.187803216272164e-05,E09000019,125.63
E09000012,Hackney,1598,8.388879627149142e-05,E09000012,119.7
E09000014,Haringey,740,2.5001362779321645e-05,E09000014,118.22
E09000025,Newham,727,2.0081914636257136e-05,E09000025,121.7
E09000002,Barking and Dagenham,157,4.348089822707636e-06,E09000002,121.89
E09000001,City of London,192,6.611739586659427e-05,E09000001,126.18
