GSS_CODE,NAME,COUNT,DENSITY,New_Code,Rent_2022
E09000021,Kingston upon Thames,233,6.253157115092923e-06,E09000021,132.33
E09000008,Croydon,500,5.780718639767633e-06,E09000008,125.79
E09000006,Bromley,252,1.6784909494680933e-06,E09000006,117.82
E09000018,Hounslow,465,8.314523916125377e-06,E09000018,127.53
E09000009,Ealing,652,1.173836769708311e-05,E09000009,131.18
E09000016,Havering,161,1.4330260299428569e-06,E09000016,119.55
E09000017,Hillingdon,337,2.912691584101968e-06,E09000017,126.75
E09000015,Harrow,211,4.181256419917818e-06,E09000015,135.08
E09000005,Brent,855,1.977672431726386e-05,E09000005,129.49
E09000003,Barnet,669,7.711965475640524e-06,E09000003,130.58
E09000022,Lambeth,1190,4.438635410578631e-05,E09000022,121.57
E09000028,Southwark,1318,4.566552491586388e-05,E09000028,125.52
E09000023,Lewisham,709,2.017122215097301e-05,E09000023,112.71
E09000011,Greenwich,656,1.3858938505195875e-05,E09000011,122.34
E09000004,Bexley,184,3.0372943377047465e-06,E09000004,113.32
E09000010,Enfield,306,3.722619074181788e-06,E09000010,125.04
E09000031,Waltham Forest,494,1.2729345539233565e-05,E09000031,119.66
E09000026,Redbridge,309,5.476856591842263e-06,E09000026,126.82
E09000029,Sutton,112,2.5543381405641275e-06,E09000029,120.72
E09000027,Richmond upon Thames,435,7.5845701950479266e-06,E09000027,125.94
E09000024,Merton,433,1.1508383826114718e-05,E09000024,118.85
E09000032,Wandsworth,1200,3.502201394037207e-05,E09000032,132.52
E09000013,Hammersmith and Fulham,1129,6.885146564271644e-05,E09000013,132.27
E09000020,Kensington and Chelsea,2069,0.0001706553895222,E09000020,130.47
E09000033,Westminster,3424,0.0001593523387635,E09000033,134.88
E09000007,Camden,2041,9.3669846493834e-05,E09000007,136.88
E09000030,Tower Hamlets,1836,9.283071378944632e-05,E09000030,128.7
E09000019,Islington,1097,7.383897529853893e-05,E09000019,128.5
E09000012,Hackney,1451,7.617186695239929e-05,E09000012,123.4
E09000014,Haringey,639,2.1589014616198012e-05,E09000014,121.13
E09000025,Newham,650,1.7954944310271167e-05,E09000025,122.52
E09000002,Barking and Dagenham,209,5.78822148373182e-06,E09000002,119.77
E09000001,City of London,218,7.50707932235289e-05,E09000001,130.65
